Latitude,Longitude,Zone,GHI (kWh/m2)
45.4982699,9.1673143,Zone 9,1405.9
45.5259142,9.1934391,Zone 9,1404.5
45.5047559,9.1690815,Zone 9,1405.5
45.4979568,9.1918297,Zone 9,1405.7
45.4973264,9.1798725,Zone 9,1405.7
45.5264202,9.1745752,Zone 9,1404.6
45.5226966,9.1747024,Zone 9,1404.6
45.522811,9.159218,Zone 9,1404.9
45.5038106,9.1641243,Zone 9,1405.6
45.4966814,9.1914255,Zone 9,1405.9
45.5198423,9.1703534,Zone 9,1404.6
45.4970635,9.1837715,Zone 9,1405.5
45.4964671,9.1730924,Zone 9,1405.9
45.4967175,9.1695992,Zone 9,1406
45.5030589,9.1643759,Zone 9,1405.6
45.5211056,9.1924489,Zone 9,1404.4
45.5242764,9.1656991,Zone 9,1404.6
45.4978085,9.167013,Zone 9,1405.9
45.504254,9.180761,Zone 9,1405.1
45.5154451,9.1724238,Zone 9,1404.5
45.5304358,9.1639989,Zone 9,1404.9
45.5308907,9.1628086,Zone 9,1404.9
45.5219373,9.2161433,Zone 9,1404.6
45.5022624,9.1928491,Zone 9,1405.6
45.4890824,9.1888085,Zone 9,1406.3
45.5152399,9.1930974,Zone 9,1404.4
45.5063941,9.198001,Zone 9,1405.2
45.5162182,9.1944327,Zone 9,1404.4
45.5197377,9.1991259,Zone 9,1404.4
45.5067954,9.2004583,Zone 9,1405.4
45.4974575,9.1645176,Zone 9,1406.1
45.5152587,9.1940764,Zone 9,1404.4
45.4874588,9.1869698,Zone 9,1406.2
45.5001613,9.1787591,Zone 9,1405.3
45.5012516,9.1627761,Zone 9,1405.8
45.5019609,9.1647025,Zone 9,1405.8
45.4998068,9.1673344,Zone 9,1405.9
45.5025232,9.176678,Zone 9,1405.3
45.5027195,9.1765326,Zone 9,1405.3
45.5023385,9.1761108,Zone 9,1405.4
45.5019769,9.1756372,Zone 9,1405.4
45.5032088,9.1624836,Zone 9,1405.7
45.5030313,9.1611492,Zone 9,1405.7
45.4949556,9.1849812,Zone 9,1405.7
45.5060472,9.1947376,Zone 9,1405.1
45.4892417,9.1888269,Zone 9,1406.3
45.5141993,9.208342,Zone 9,1404.9
45.5144784,9.2077107,Zone 9,1404.9
45.4891294,9.1906768,Zone 9,1406.5
45.4891677,9.1909798,Zone 9,1406.5
45.4899942,9.189347,Zone 9,1406.3
45.5257421,9.2081435,Zone 9,1404.7
45.5267462,9.2088078,Zone 9,1404.7
45.5186799,9.2072964,Zone 9,1404.6
45.511153,9.202929,Zone 9,1405
45.5010358,9.1958058,Zone 9,1405.6
45.5027644,9.1891262,Zone 9,1405.2
45.5120915,9.2044026,Zone 9,1405
45.5023842,9.1527412,Zone 9,1406.1
45.4889444,9.1881683,Zone 9,1406.3
45.5161175,9.2029905,Zone 9,1404.6
45.5172346,9.1917957,Zone 9,1404.3
45.4899689,9.1889659,Zone 9,1406.3
45.4887512,9.187111,Zone 9,1406.2
45.4900947,9.1832224,Zone 9,1405.9
45.4888473,9.1830352,Zone 9,1406.1
45.5026316,9.1652048,Zone 9,1405.6
45.5282357,9.2101398,Zone 9,1404.6
45.5225744,9.2066697,Zone 9,1404.6
45.5175274,9.1916647,Zone 9,1404.3
45.5239109,9.1925821,Zone 9,1404.4
45.5072649,9.1982093,Zone 9,1405.2
45.4890027,9.191109,Zone 9,1406.5
45.5264675,9.203168,Zone 9,1404.6
45.5264774,9.203226,Zone 9,1404.6
45.5266259,9.2090037,Zone 9,1404.7
45.5146215,9.2111879,Zone 9,1404.9
45.5153719,9.1724922,Zone 9,1404.5
45.4976886,9.1857067,Zone 9,1405.5
45.4985205,9.1888725,Zone 9,1405.5
45.4871967,9.1842026,Zone 9,1406.1
45.494443,9.1851065,Zone 9,1405.8
45.5072704,9.1984568,Zone 9,1405.2
45.4827112,9.1850579,Zone 9,1406.5
45.4938763,9.1848747,Zone 9,1405.7
45.4976397,9.1859697,Zone 9,1405.5
45.498364,9.1845521,Zone 9,1405.4
45.5152366,9.1933136,Zone 9,1404.4
45.5166084,9.1673769,Zone 9,1404.7
45.5023359,9.1658458,Zone 9,1405.7
45.5075977,9.2043976,Zone 9,1405.3
45.4916738,9.1887287,Zone 9,1406.1
45.5214975,9.1996404,Zone 9,1404.5
45.521571,9.2000077,Zone 9,1404.4
45.5290718,9.203058,Zone 9,1404.6
45.5235523,9.2118257,Zone 9,1404.6
45.52316,9.2113541,Zone 9,1404.6
45.4863171,9.1866888,Zone 9,1406.2
45.4840401,9.1958908,Zone 9,1406.9
45.5183846,9.1543166,Zone 9,1405
45.5164034,9.1530715,Zone 9,1405
45.5150861,9.1611001,Zone 9,1404.8
45.5199162,9.1695049,Zone 9,1404.5
45.5228398,9.1664211,Zone 9,1404.6
45.5228777,9.1667016,Zone 9,1404.6
45.5293431,9.1728086,Zone 9,1404.7
