Latitude,Longitude,Zone,Land-Use
45.4956424,9.1662805,zone9,railway
45.4954787,9.1661103,zone9,railway
45.4957624,9.1654618,zone9,railway
45.5039206,9.2018223,zone9,industrial
45.5041004,9.2044917,zone9,industrial
45.5041578,9.2047296,zone9,industrial
45.5043566,9.2049891,zone9,industrial
45.5048152,9.2051798,zone9,industrial
45.5050211,9.2052591,zone9,industrial
45.5052,9.205343,zone9,industrial
45.5052707,9.205372,zone9,industrial
45.5054955,9.2054543,zone9,industrial
45.5063576,9.2035187,zone9,industrial
45.5050956,9.2023836,zone9,industrial
45.5049623,9.2022636,zone9,industrial
45.5049279,9.2022326,zone9,industrial
45.5048104,9.2021268,zone9,industrial
45.5048019,9.2021461,zone9,industrial
45.5047298,9.202081,zone9,industrial
45.5043789,9.2017695,zone9,industrial
45.5043366,9.2018666,zone9,industrial
45.50428,9.2019965,zone9,industrial
45.5042462,9.2020739,zone9,industrial
45.5041258,9.2019625,zone9,industrial
45.5040565,9.2018984,zone9,industrial
45.5040336,9.2018834,zone9,industrial
45.5040197,9.2019139,zone9,industrial
45.5039765,9.2018739,zone9,industrial
45.5039206,9.2018223,zone9,industrial
45.5091394,9.1544063,zone9,industrial
45.5075501,9.1557951,zone9,industrial
45.5073712,9.1559587,zone9,industrial
45.5072136,9.1561086,zone9,industrial
45.5070178,9.1563108,zone9,industrial
45.5066003,9.1567644,zone9,industrial
45.5063415,9.1570407,zone9,industrial
45.5062233,9.1571561,zone9,industrial
45.5062237,9.1571724,zone9,industrial
45.5056546,9.1577884,zone9,industrial
45.5056975,9.1578688,zone9,industrial
45.5057344,9.1581902,zone9,industrial
45.5061587,9.1580371,zone9,industrial
45.5063413,9.1579807,zone9,industrial
45.5066482,9.1579203,zone9,industrial
45.5068166,9.157906,zone9,industrial
45.5068948,9.1579072,zone9,industrial
45.5070728,9.15791,zone9,industrial
45.5075189,9.157957,zone9,industrial
45.5075201,9.1579234,zone9,industrial
45.5078394,9.1579588,zone9,industrial
45.5082248,9.1580191,zone9,industrial
45.5086986,9.1581149,zone9,industrial
45.5090368,9.1581935,zone9,industrial
45.5093103,9.158284,zone9,industrial
45.5095506,9.158389,zone9,industrial
45.5095677,9.1582799,zone9,industrial
45.509941,9.1555368,zone9,industrial
