Latitude,Longitude,Zone,GHI (kWh/m2)
45.4520738,9.205018,Zone 4,1415.7
45.4512244,9.2060963,Zone 4,1415.7
45.4428204,9.2189047,Zone 4,1417.8
45.4433936,9.217669,Zone 4,1417.8
45.4416547,9.2204427,Zone 4,1418.4
45.4640663,9.2242211,Zone 4,1413.7
45.4630494,9.2259045,Zone 4,1413.8
45.4629508,9.2207483,Zone 4,1413.5
45.4410074,9.2217571,Zone 4,1418.4
45.4409434,9.2218751,Zone 4,1418.4
45.4412585,9.2220406,Zone 4,1418.4
45.4623356,9.2176495,Zone 4,1413.8
45.4408208,9.2143595,Zone 4,1417.9
45.4436732,9.2140686,Zone 4,1417.6
45.4517674,9.2094303,Zone 4,1415.8
45.4517295,9.2094117,Zone 4,1415.8
45.4516922,9.2094344,Zone 4,1415.8
45.4411476,9.2146149,Zone 4,1417.9
45.4591133,9.2137858,Zone 4,1414.1
45.4591709,9.2136753,Zone 4,1414.1
45.4585842,9.2133385,Zone 4,1414.1
45.4591573,9.2138144,Zone 4,1414.1
45.4579166,9.212767,Zone 4,1414.1
45.457542,9.2130036,Zone 4,1414.1
45.4544415,9.2094294,Zone 4,1415.3
45.4499539,9.2079552,Zone 4,1416.4
45.4578666,9.2234887,Zone 4,1414.9
45.4636423,9.2300088,Zone 4,1414.5
45.4648651,9.2300155,Zone 4,1414.5
45.4625476,9.2281885,Zone 4,1414.1
45.4641371,9.2304178,Zone 4,1414.5
45.4656881,9.2304286,Zone 4,1413.9
45.4676831,9.2299907,Zone 4,1413.1
45.4533243,9.2089365,Zone 4,1415.3
45.4470041,9.2146266,Zone 4,1417.1
45.4475724,9.2140265,Zone 4,1416.6
45.4476834,9.2136465,Zone 4,1416.6
45.4439796,9.2237293,Zone 4,1418
45.4504734,9.2217868,Zone 4,1416.4
45.44949,9.226579,Zone 4,1417.4
45.4503464,9.2248587,Zone 4,1416.8
45.4617525,9.2205144,Zone 4,1414.1
45.460995,9.2105817,Zone 4,1413.4
45.4464478,9.2141581,Zone 4,1417.1
45.4505732,9.2123682,Zone 4,1415.9
45.4497007,9.2117074,Zone 4,1416.4
45.4498927,9.211847,Zone 4,1416.4
45.4505251,9.2123848,Zone 4,1415.9
45.462399,9.2086093,Zone 4,1413.3
45.4670326,9.2303808,Zone 4,1413.9
45.4506916,9.2054659,Zone 4,1415.7
45.4373001,9.2351517,Zone 4,1419.9
45.4369821,9.2312329,Zone 4,1419.7
45.4371523,9.2305729,Zone 4,1419.7
45.4548884,9.22064,Zone 4,1415.9
45.453962,9.2207049,Zone 4,1415.9
45.4540523,9.2206943,Zone 4,1415.9
45.4613781,9.2119063,Zone 4,1413.4
45.4508509,9.2235533,Zone 4,1416.8
45.4557425,9.2438206,Zone 4,1417.1
45.4528655,9.2465662,Zone 4,1417.9
45.457635,9.219858,Zone 4,1414.5
45.4576331,9.2202798,Zone 4,1414.6
45.4576205,9.2200902,Zone 4,1414.6
45.4540416,9.2158882,Zone 4,1415.6
45.4538761,9.2157834,Zone 4,1415.6
45.4549523,9.2165102,Zone 4,1415.6
45.455228,9.2160181,Zone 4,1415
45.4675567,9.2104751,Zone 4,1411.5
45.4671118,9.2303948,Zone 4,1413.9
45.4688931,9.2348967,Zone 4,1413.6
45.4683411,9.2350121,Zone 4,1413.9
45.4680495,9.2327242,Zone 4,1413.6
45.4672737,9.2179844,Zone 4,1412.6
45.4674675,9.2165068,Zone 4,1412.5
45.4579623,9.2244339,Zone 4,1414.9
45.4344595,9.2366128,Zone 4,1420.3
45.4637896,9.2304331,Zone 4,1414.5
45.4575876,9.2191361,Zone 4,1414.5
45.4564591,9.2191463,Zone 4,1415.1
45.4623506,9.2136105,Zone 4,1413.5
45.4276543,9.2496533,Zone 4,1421.4
45.4620203,9.220265,Zone 4,1414.1
45.4487169,9.2209527,Zone 4,1417
45.4504788,9.2247738,Zone 4,1416.8
45.4434225,9.2220601,Zone 4,1417.9
45.4576517,9.2551997,Zone 4,1417.6
45.4517365,9.2515244,Zone 4,1418.7
45.4516132,9.2515569,Zone 4,1418.7
45.4588778,9.24242,Zone 4,1416.5
45.458747,9.2421925,Zone 4,1416.5
45.4588322,9.2423278,Zone 4,1416.5
45.4547248,9.2463756,Zone 4,1417.9
45.4582513,9.2411985,Zone 4,1416.5
45.4647001,9.258679,Zone 4,1416.9
45.4649046,9.2586341,Zone 4,1416.9
45.4646317,9.2586941,Zone 4,1416.9
45.4616022,9.2204412,Zone 4,1414.1
45.4616762,9.2204438,Zone 4,1414.1
45.4440821,9.2222329,Zone 4,1417.9
45.4489657,9.2117127,Zone 4,1416.4
45.4617125,9.2115439,Zone 4,1413.4
45.4623167,9.2354523,Zone 4,1415.4
45.4600271,9.2219202,Zone 4,1414.1
45.4600274,9.2217271,Zone 4,1414.1
45.4555208,9.2204484,Zone 4,1415.3
45.4374969,9.2195244,Zone 4,1419.1
45.4377357,9.2201692,Zone 4,1418.8
45.4576528,9.2078244,Zone 4,1413.9
45.4439152,9.2142326,Zone 4,1417.6
45.4491507,9.2170643,Zone 4,1416.8
45.4585677,9.2420452,Zone 4,1416.5
45.4586068,9.2419707,Zone 4,1416.5
45.457499,9.2057955,Zone 4,1414.4
45.4607934,9.2316583,Zone 4,1415
45.4531836,9.2151997,Zone 4,1415.6
45.4531704,9.2151069,Zone 4,1415.6
45.4531915,9.2151859,Zone 4,1415.6
45.4675844,9.2141133,Zone 4,1411.7
45.4479324,9.2219729,Zone 4,1417
45.4292859,9.2565687,Zone 4,1421.7
45.428921,9.2559159,Zone 4,1421.7
45.4574784,9.2062256,Zone 4,1414.4
45.4574236,9.2069239,Zone 4,1414.4
45.4576153,9.2058871,Zone 4,1413.7
45.4612677,9.2324651,Zone 4,1415
45.4561236,9.237879,Zone 4,1416.7
45.4457431,9.2483829,Zone 4,1419.2
45.445143,9.24847,Zone 4,1419.2
45.4457064,9.2473085,Zone 4,1419
45.4457409,9.2482722,Zone 4,1419.2
45.4457461,9.2482093,Zone 4,1419.2
45.4457248,9.2478262,Zone 4,1419.2
45.4457117,9.2476935,Zone 4,1419.2
45.4456737,9.2469389,Zone 4,1419
45.4456151,9.2457841,Zone 4,1419
45.4456245,9.2455044,Zone 4,1419
45.4456182,9.2450587,Zone 4,1419
45.4456148,9.2451996,Zone 4,1419
45.4456022,9.2445158,Zone 4,1418.8
45.4455094,9.2429598,Zone 4,1418.8
45.4399188,9.2187545,Zone 4,1418.7
45.4446352,9.2464417,Zone 4,1419.4
45.4520299,9.2226039,Zone 4,1416.8
45.4662263,9.2132989,Zone 4,1412.3
45.4662652,9.2132644,Zone 4,1412.3
45.443484,9.2193933,Zone 4,1417.8
45.463141,9.2303829,Zone 4,1414.5
45.4675344,9.2151735,Zone 4,1411.9
45.4633081,9.2303866,Zone 4,1414.5
45.4625289,9.2304619,Zone 4,1414.5
