Latitude,Longitude,Zone,Roughness
45.47222479,9.202846589,zone4,0
45.47222479,9.203116084,zone4,0
45.47222479,9.203385578,zone4,0
45.47222479,9.203655073,zone4,0
45.47222479,9.203924568,zone4,0
45.47222479,9.204194062,zone4,0
45.47222479,9.204463557,zone4,0
45.47222479,9.204733051,zone4,0
45.47222479,9.205002546,zone4,0
45.47222479,9.205272041,zone4,0
45.47222479,9.205541535,zone4,0
45.47222479,9.20581103,zone4,0
45.47222479,9.206080524,zone4,0
45.47222479,9.206350019,zone4,0
45.47222479,9.206619514,zone4,0
45.47222479,9.206889008,zone4,0
45.47222479,9.207158503,zone4,0
45.47222479,9.207427997,zone4,0
45.47222479,9.207697492,zone4,0
45.47222479,9.207966986,zone4,0
45.47222479,9.208236481,zone4,0
45.47222479,9.208505976,zone4,0
45.47222479,9.20877547,zone4,0
45.47222479,9.209044965,zone4,0
45.47222479,9.209314459,zone4,0
45.47222479,9.209583954,zone4,0
45.47222479,9.209853449,zone4,0
45.47222479,9.210122943,zone4,0
45.47222479,9.210392438,zone4,0
45.47222479,9.210661932,zone4,0
45.47222479,9.210931427,zone4,0
45.47222479,9.211200921,zone4,0
45.47222479,9.211470416,zone4,0
45.47222479,9.211739911,zone4,0
45.47222479,9.212009405,zone4,0
45.47222479,9.2122789,zone4,0
45.47222479,9.212548394,zone4,0
45.47222479,9.212817889,zone4,0
45.47222479,9.213087384,zone4,0
45.47222479,9.213356878,zone4,0
45.47222479,9.213626373,zone4,0
45.47222479,9.213895867,zone4,0
45.47222479,9.214165362,zone4,0
45.47222479,9.214434856,zone4,0
45.47222479,9.214704351,zone4,0
45.47222479,9.214973846,zone4,0
45.47222479,9.21524334,zone4,0
45.47222479,9.215512835,zone4,0
45.47222479,9.215782329,zone4,0
45.47222479,9.216051824,zone4,0
45.47222479,9.216321319,zone4,0
45.47222479,9.216590813,zone4,0
45.47222479,9.216860308,zone4,0
45.47222479,9.217129802,zone4,0
45.47222479,9.217399297,zone4,0
45.47222479,9.217668791,zone4,0
45.47222479,9.217938286,zone4,0
45.47222479,9.218207781,zone4,0
45.47222479,9.218477275,zone4,0
45.47222479,9.21874677,zone4,0
45.47222479,9.219016264,zone4,0
45.47222479,9.219285759,zone4,0
45.47222479,9.219555254,zone4,0
45.47222479,9.219824748,zone4,0
45.47222479,9.220094243,zone4,0
45.47222479,9.220363737,zone4,0
45.47222479,9.220633232,zone4,0
45.47222479,9.220902727,zone4,0
45.47222479,9.221172221,zone4,0
45.47222479,9.221441716,zone4,0
45.47222479,9.22171121,zone4,0
45.47222479,9.221980705,zone4,0
45.47222479,9.222250199,zone4,0
45.47222479,9.222519694,zone4,0
45.47222479,9.222789189,zone4,0
45.47222479,9.223058683,zone4,0
45.47222479,9.223328178,zone4,0
45.47222479,9.223597672,zone4,0
45.47222479,9.223867167,zone4,0
45.47222479,9.224136662,zone4,0
45.47222479,9.224406156,zone4,0
45.47222479,9.224675651,zone4,0
45.47222479,9.224945145,zone4,0
45.47222479,9.22521464,zone4,0
45.47222479,9.225484134,zone4,0
45.47222479,9.225753629,zone4,0
45.47222479,9.226023124,zone4,0
45.47222479,9.226292618,zone4,0
45.47222479,9.226562113,zone4,0
45.47222479,9.226831607,zone4,0
45.47222479,9.227101102,zone4,0
45.47222479,9.227370597,zone4,0
45.47222479,9.227640091,zone4,0
45.47222479,9.227909586,zone4,0
45.47222479,9.22817908,zone4,0
45.47222479,9.228448575,zone4,0
45.47222479,9.228718069,zone4,0
